Output (S),Ia,Ib,Ic,Va,Vb,Vc,,
1,509.5358554,46.2094096,5.63645759,0.232845606,-0.524701587,0.291855982,,
1,498.3313512,42.71867107,5.622167306,0.240236299,-0.530466029,0.29022973,,
1,486.9235094,39.27183289,5.740814183,0.24731983,-0.53600212,0.28868229,,
1,475.3503678,35.84021605,5.905358058,0.254156066,-0.54127196,0.287115894,,
1,463.6236739,32.40118445,6.054043111,0.260778216,-0.546253389,0.285475173,,
1,451.7826158,28.99131899,6.228132693,0.267193347,-0.550958162,0.283764815,,
1,439.8936208,25.69441137,6.515970243,0.273393129,-0.555397809,0.28200468,,
1,427.9823917,22.56963954,6.946559475,0.279356633,-0.559556596,0.280199963,,
1,416.0165777,19.599404,7.465368735,0.285077775,-0.563413938,0.278336163,,
1,403.9589992,16.7213023,8.001666063,0.290580725,-0.566971396,0.276390671,,
1,391.7947717,13.90182976,8.531334857,0.295884159,-0.570244137,0.274359978,,
1,379.5069782,11.16804267,9.074656594,0.300957988,-0.573234265,0.272276277,,
1,367.0711975,8.567716507,9.656488315,0.305751269,-0.575931351,0.270180081,,
1,354.4858426,6.11577067,10.27852595,0.310256578,-0.578332335,0.268075757,,
1,341.778736,3.783075929,10.91659472,0.31452297,-0.580448154,0.265925184,,
1,328.9788769,1.536051949,11.54003664,0.318602045,-0.582287678,0.263685632,,
1,316.1044665,-0.621972545,12.14158566,0.322507257,-0.583849099,0.261341842,,
1,303.1769502,-2.652416347,12.74792667,0.32622662,-0.585129371,0.258902751,,
1,290.2193447,-4.525055551,13.39047981,0.329756042,-0.58613549,0.256379448,,
1,277.2340371,-6.250414565,14.06602665,0.333106689,-0.586878758,0.253772068,,
1,264.1996817,-7.868585924,14.73493976,0.336293894,-0.587364868,0.251070974,,
1,251.0941852,-9.410449444,15.36042495,0.339324648,-0.587594244,0.248269596,,
1,237.9083948,-10.87688714,15.94074192,0.342192729,-0.587571086,0.245378357,,
1,224.6387128,-12.2505343,16.49913188,0.344882173,-0.587304484,0.242422311,,
1,211.2830712,-13.52211128,17.04953153,0.347384812,-0.586802311,0.239417498,,
1,197.8492406,-14.70168179,17.5807466,0.349714782,-0.586067633,0.236352851,,
1,184.3565111,-15.80958491,18.07180584,0.351902474,-0.585103745,0.233201271,,
1,170.825006,-16.85694842,18.51621692,0.353970792,-0.583917766,0.229946975,,
1,157.2687584,-17.83646721,18.92824877,0.355923156,-0.582518375,0.22659522,,
1,143.6977766,-18.73223581,19.32727298,0.357753006,-0.58091124,0.223158234,,
1,130.1171881,-19.54139541,19.71737824,0.359460226,-0.579100109,0.219639883,,
1,116.522025,-20.2824411,20.08317362,0.361053234,-0.577089988,0.216036754,,
1,102.8995308,-20.98115725,20.40467133,0.36253988,-0.574887785,0.212347905,,
1,89.23969634,-21.64887226,20.67515948,0.363918755,-0.572499281,0.208580525,,
1,75.54084683,-22.27893916,20.90374964,0.365181144,-0.569928422,0.204747278,,
0,61.80632138,-22.86198683,21.10242776,0.366320261,-0.567179131,0.20085887,,
0,48.04167823,-23.40110771,21.27306551,0.367340759,-0.56425701,0.196916251,,
0,34.25653349,-23.90926327,21.40804695,0.368257739,-0.561167799,0.19291006,,
0,20.46435025,-24.39616471,21.50150279,0.369086343,-0.557915929,0.188829586,,
0,7.109677137,-25.07588831,21.34196652,0.370320573,-0.554504767,0.184184194,,
0,-5.108686636,-25.98007929,20.90127304,0.372502458,-0.550938259,0.178435801,,
0,-15.62849197,-26.34342352,20.94885987,0.375441568,-0.547220769,0.171779201,,
0,-24.52293192,-25.78962861,21.86461109,0.378762357,-0.543356147,0.16459379,,
0,-32.25675981,-24.82710443,23.14256961,0.382477581,-0.539347309,0.156869728,,
0,-38.87115551,-23.9109203,24.33038062,0.386885524,-0.535197303,0.14831178,,
0,-44.47540295,-23.19938357,25.27313128,0.391999425,-0.530909673,0.138910249,,
0,-49.36480553,-22.62100262,26.0458103,0.397512348,-0.52648797,0.128975621,,
0,-53.60072061,-22.02929023,26.79741501,0.403247928,-0.521934955,0.118687028,,
0,-56.78789637,-21.20206969,27.7521717,0.409327203,-0.517252991,0.107925788,,
0,-58.60291151,-19.96779969,29.08375409,0.415854382,-0.512444512,0.096590129,,
0,-59.41685424,-18.52758678,30.59344842,0.422683979,-0.507512121,0.084828142,,
0,-59.79618035,-17.20244102,31.96214331,0.429616884,-0.502458059,0.072841175,,
0,-59.87845296,-16.12419493,33.05953798,0.436642872,-0.497284258,0.060641385,,
0,-59.57449633,-15.33075237,33.84921,0.443855723,-0.491992649,0.048136926,,
0,-58.83037784,-14.73544113,34.41964913,0.451224414,-0.486585408,0.035360994,,
0,-57.61117316,-14.1165427,34.99417124,0.458601122,-0.48106458,0.022463458,,
0,-55.83208627,-13.28882624,35.75920904,0.465907556,-0.475431891,0.009524335,,
0,-53.53060344,-12.344944,36.62292263,0.473187943,-0.469688825,-0.003499117,,
0,-50.96910363,-11.57937809,37.2917272,0.480467838,-0.463836931,-0.016630908,,
0,-48.37924617,-11.12610029,37.63246858,0.487673188,-0.457877761,-0.029795427,,
0,-45.80427582,-10.91358652,37.71735082,0.494718115,-0.451812766,-0.042905349,,
0,-43.16010282,-10.84793703,37.64068574,0.50160005,-0.445643259,-0.055956791,,
0,-40.31482743,-10.83309614,37.4990207,0.508351475,-0.439370621,-0.068980854,,
0,-37.19749452,-10.76413663,37.3977748,0.514951061,-0.432996309,-0.081954753,,
0,-33.88831152,-10.63086044,37.34758554,0.521334191,-0.426521741,-0.09481245,,
0,-30.58346507,-10.58381157,37.19803831,0.5274725,-0.419948173,-0.107524327,,
0,-27.4248852,-10.78136284,36.79079072,0.533385734,-0.413276796,-0.120108938,,
0,-24.40166262,-11.21510715,36.13420503,0.539082877,-0.406508822,-0.132574056,,
0,-21.44485238,-11.76623508,35.34708593,0.544532057,-0.399645506,-0.144886551,,
0,-18.49413515,-12.3244646,34.53957166,0.54970223,-0.392688077,-0.157014153,,
0,-15.49122202,-12.82609089,33.77521104,0.554596933,-0.385637765,-0.168959168,,
0,-12.43111765,-13.27664299,33.04828593,0.559232128,-0.378495852,-0.180736276,,
0,-9.418400013,-13.76064162,32.27415786,0.563599537,-0.371263685,-0.192335852,,
0,-6.590062148,-14.37603479,31.35464859,0.567676566,-0.3639426,-0.203733966,,
0,-3.976127061,-15.13529147,30.27699112,0.571457246,-0.356533887,-0.214923359,,
0,-1.491777195,-15.96143285,29.11775596,0.574955384,-0.349038831,-0.225916553,,
0,0.948085268,-16.76910884,27.96192999,0.578177889,-0.341458755,-0.236719134,,
0,3.372675745,-17.50871795,26.85871822,0.581116071,-0.333795035,-0.247321036,,
0,5.765363453,-18.17859802,25.80941553,0.583762637,-0.326049072,-0.257713565,,
0,8.072343462,-18.83353378,24.75883082,0.586125314,-0.318222309,-0.267903005,,
0,10.22332337,-19.54945907,23.6306909,0.588214901,-0.310316243,-0.277898658,,
0,12.1895782,-20.34818312,22.40282929,0.590032314,-0.302332423,-0.287699891,,
0,14.01415343,-21.17319804,21.13140993,0.591573059,-0.294272409,-0.297300651,,
0,15.76987919,-21.94879081,19.89172698,0.592840867,-0.286137765,-0.306703101,,
0,17.49887509,-22.63961691,18.71872704,0.593846497,-0.277930071,-0.315916426,,
0,19.19661549,-23.25316498,17.60451182,0.594597535,-0.269650962,-0.324946573,,
0,20.82158948,-23.82563264,16.51253381,0.595094721,-0.261302109,-0.333792611,,
0,22.32247711,-24.4050918,15.39436314,0.59534034,-0.252885241,-0.342455099,,
0,23.67878778,-25.01635463,14.22488592,0.595342181,-0.244402119,-0.350940062,,
0,24.92280433,-25.63292794,13.03029728,0.595108982,-0.235854563,-0.359254419,,
0,26.10988931,-26.19958677,11.86557333,0.594644697,-0.227244417,-0.36740028,,
0,27.27316154,-26.68157019,10.76519994,0.593951805,-0.21857356,-0.375378245,,
0,28.40919663,-27.08513818,9.722663719,0.593035953,-0.209843871,-0.383192082,,
0,29.49294332,-27.44207003,8.70591789,0.591905652,-0.20105727,-0.390848382,,
